source_id,source_url,source_document,retrieved_date,row_position,name_verbatim,address_verbatim,city_verbatim,state_verbatim,zip_verbatim,country,source_identifier,naics_verbatim,status_verbatim,status_basis,expiry_date,lat,lon,notes,row_hash,seed_label
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,84198,MODULAR STEEL SYSTEMS INC,11 EDWARDS DRIVE,BLOOMSBURG,PA,17815,US,110070286582,321992,,none,,41.03356,-76.32819,OSHA-OIS,ebeaa4675fe3892a,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,95520,CARDINAL HOMES INC,525 BARNESVILLE HIGHWAY,WYLLIESBURG,VA,23976-5217,UNITED STATES,110020681421,321992,,none,,36.860525,-78.588832,,9ef84a48296aaea5,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,55204,"ROCHESTER HOMES, INC.",1345 NORTH LUCAS STREET,ROCHESTER,IN,46975-1156,UNITED STATES,110001237368,321991,,none,,41.0735,-86.20578,,e7dd22eb9fa7948b,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,61016,"CAPE COD PANEL, LLC",210 AIRPORT WAY,HYANNIS,MA,02601,US,110070297661,321992,,none,,41.67291,-70.28646,OSHA-OIS,95283b7bb57658a7,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,82699,THE MURUS COMPANY,3234 ROUTE 549,MANSFIELD,PA,16933,UNITED STATES,110059282887,321992,,none,,41.8688,-76.99024,OSHA-OIS,6a25d29360263a22,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,87489,ENERCEPT INC,3100 9TH AVE. S.E.,WATERTOWN,SD,57201-9170,UNITED STATES,110001131169,321992,,none,,44.88963,-97.06496,,59b16f7a3d224cdc,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,51679,ENERGY PANEL STRUCTURES INC,102 E INDUSTRIAL PARK,GRAETTINGER,IA,51342,UNITED STATES,110045971276,321992,,none,,43.24277,-94.74843,,77edf4ea3334cb26,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,71106,ECO-PANELS LLC,263 INDUSTRIAL BLVD,MOCKSVILLE,NC,27028,UNITED STATES,110037143347,321992,,none,,35.89831,-80.54372,,bbe9d23b988e30da,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,33490,"PANEL BUILT, INC.",303 BEASLEY STREET,BLAIRSVILLE,GA,30512,US,110070331672,321992,,none,,34.87444,-83.94128,OSHA-OIS,aa7776d194feb9d1,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,14162,BETTER BUILT TRUSS,251 E 4TH ST,RIPON,CA,95366,UNITED STATES,110070308447,321214,,none,,37.735414,-121.12093,OSHA-OIS,078db6e778afa5ab,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,23803,BUILDERS FIRSTSOURCE LLC,4408 AIRPORT RD,PLANT CITY,FL,33563-1112,US,110055100439,321214,,none,,28.00332,-82.16584,,7767e6b19f22a68a,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,77499,"PDJ COMPONENTS, INC.",35 BROOKSIDE AVENUE,CHESTER,NY,10918,US,110070294200,321214,,none,,41.35245,-74.27617,OSHA-OIS,dc9b12d921bbd7fc,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,77107,"S.R. SLOAN, INC.","8111 HALSEY RD, PO BOX 560",WHITESBORO,NY,13492,UNITED STATES,110037100810,321214,,none,,43.115251,-75.34836,OSHA-OIS,7fb4eee9cd4ba84b,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,81061,OREGON TRUSS CO INC,17900 WALLACE RD,DAYTON,OR,97114,US,110070320362,321214,,none,,45.13074,-123.06141,OSHA-OIS,e3eb3d682c41143f,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,97555,THE TRUSS COMPANY,2802 142ND AVE E,SUMNER,WA,98390,USA,110066988781,321214,,none,,47.212894,-122.24604,OSHA-OIS,d5e6d0b15cd68125,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,69932,CHAMPION HOME BUILDERS CO,3204 SOUTH RIVER RD.,LILLINGTON,NC,27546-8344,UNITED STATES,110000346929,321991,,none,,35.42387,-78.86351,,417c84df75687082,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,59301,59113 - CHAMPION HOME BUILDERS INC,200 VENTURE LANE,BENTON,KY,42025,US,110070345378,321991,,none,,36.82376,-88.37579,OSHA-OIS,55d02ebc0574f219,IC
epa_frs,https://ordsext.epa.gov/FLA/www3/state_files/national_combined.zip,NATIONAL_FACILITY_FILE.CSV,2026-09-16,79712,FLEETWOOD HOMES OF OREGON 48,2655 PROGRESS WAY,WOODBURN,OR,97071,UNITED STATES,110000486876,321991,,none,,45.15769,-122.83375,OSHA-OIS,86981ee81f89552c,IC
